_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
99,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4076,Cleaning contracts (uniforms),1802700
100,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4341,Clothing reimbursement,1442700
101,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8528,Training recoveries,-15000
102,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8549,Witness fees,-3000
103,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1564,Maternal/Parental top up - Civilian,926700
104,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1563,Maternal/Parental top up - Uniform,1721000
105,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1501,Regular salaries - Chief/Command,25400
106,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1505,Regular salaries - Civilian A,2393700
107,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1506,Regular salaries - Civilian B,-161800
108,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1507,Regular salaries - Civilian C,-4039600
109,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,-834500
110,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1504,Regular salaries - Uniform,-7742100
111,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,890900
112,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1765,CPP - Civilian,-1084000
113,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1764,CPP - Uniform,-158700
114,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1746,EI - Civilian,-333800
115,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1744,EI - Uniform,-183200
116,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Audit & Quality Assurance,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,803300
117,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1776,OMERS - Civilian,-1580900
118,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,3-Benefits,1773,OMERS - Uniform,410900
119,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,7-Revenues,8533,Secondments - benefits,-504700
120,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Unit Not Assigned,Unit Not Assigned,7-Revenues,8532,Secondments - salaries,-1736100
121,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,2-Premium Pay,1573,Callback premium pay - Uniform,812100
122,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,4-Materials & Supplies,2082,Health & Safety supplies,561600
123,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,4-Materials & Supplies,2010,Stationery and office supplies,5000
124,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,6-Services,4424,Contracted Services - general,622400
125,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,6-Services,4659,Maintenance - computer,340700
126,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,6-Services,4970,Services & rents - general,2000
127,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,6-Services,4811,Wireless services,11000
128,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,7-Revenues,8505,Alarm Fees,175300
129,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,7-Revenues,8524,Criminal record checks,1869600
130,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,7-Revenues,8504,Paid duty - administration fee,605400
